ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2010;MAI;Maio;5;COQUE;b;2549367,9660557024
2010;JUN;Junho;6;COQUE;b;2034658,7584495095
2010;JUL;Julho;7;COQUE;b;2329042,526056202
2010;AGO;Agosto;8;COQUE;b;2616698,446779548
2010;SET;Setembro;9;COQUE;b;2251667,865887038
2010;OUT;Outubro;10;COQUE;b;2167000,7939559813
2010;NOV;Novembro;11;COQUE;b;1684502,7073102307
2010;DEZ;Dezembro;12;COQUE;b;2290673,32428
2011;JAN;Janeiro;1;COQUE;b;2366999,8783310773
2011;FEV;Fevereiro;2;COQUE;b;1919876,4451600001
2011;MAR;Março;3;COQUE;b;3050042,08558
2011;ABR;Abril;4;COQUE;b;1972251,69303
2011;MAI;Maio;5;COQUE;b;2053239,2865900001
2011;JUN;Junho;6;COQUE;b;2441830,0382
2011;JUL;Julho;7;COQUE;b;2040647,08697
2011;AGO;Agosto;8;COQUE;b;3080956,779933135
2011;SET;Setembro;9;COQUE;b;2826099,69034
