year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2016,8,Agosto,2016-08,20186904.85181366,935513812,46.34260768886273,56436505.093118,76623409.94493166,26.94012071958045,30.62284021311893,6.940120719580449,5.622840213118931,531775714.9637268,430841190.7046587
2016,9,Setembro,2016-09,15701694.304138208,719217387,45.80508148158566,52585032.90929959,68286727.2134378,25.933561578530327,29.783872982746495,5.933561578530327,4.7838729827464945,405183500.9172358,326675029.3965449
2016,10,Outubro,2016-10,13385699.470802968,706410321,52.77350821605025,58421844.98131517,71807544.45211814,26.109334818940464,30.1772809816359,6.109334818940464,5.177280981635899,438696331.58394057,371767834.2299257
2016,11,Novembro,2016-11,10659235.747877298,561196439,52.6488439015675,52480551.73064419,63139787.47852149,25.511765844331336,29.667667679485334,5.511765844331336,4.667667679485334,348011724.0424541,294715545.3030675
2016,12,Dezembro,2016-12,12933893.964270897,709692872,54.87078168109958,50070344.37893903,63004238.34320993,27.158486549074976,31.13205608150749,7.158486549074976,6.132056081507489,451014992.7145821,386345522.89322776
2017,1,Janeiro,2017-01,19306646.45472365,1002243677,51.91184700825071,52677128.81679422,71983775.27151787,28.559022440565244,32.21798090850469,8.559022440565244,7.217980908504693,616110747.9055269,519577515.6319082
2017,2,Fevereiro,2017-02,24657149.304716412,1325511584,53.75769792440915,49015666.29578188,73672815.60049829,31.298178183107773,34.62475569316091,11.298178183107773,9.624755693160907,832368597.9056717,709082851.3820896
2017,3,Março,2017-03,18297313.86467003,1069452513,58.4486073152512,54602077.081696756,72899390.94636679,29.650371924563537,33.3954016410579,9.650371924563537,8.395401641057902,703506235.7065994,612019666.3832493
2017,4,Abril,2017-04,16877236.007983103,960369907,56.90326938283824,53607649.7804087,70484885.7883918,28.8362941909301,32.639070430175806,8.8362941909301,7.639070430175806,622825186.8403381,538439006.8004227
2017,5,Maio,2017-05,13637962.133037342,747063865,54.77826215621114,53594701.495775156,67232663.62881249,27.054675461883537,31.04043912221301,7.054675461883537,6.040439122213009,474304622.33925325,406114811.6740666
2017,6,Junho,2017-06,21083712.298562266,1186769052,56.28842943758665,51222184.18885463,72305896.4874169,30.581361177949034,34.12340869255033,10.581361177949034,9.123408692550328,765094806.0287546,659676244.5359435
2017,7,Julho,2017-07,19532094.330496933,1058989927,54.21794043593774,52202144.67555028,71734239.00604722,29.317001889902524,32.95558127673826,9.317001889902524,7.955581276738258,668348040.3900614,570687568.7375765
2017,8,Agosto,2017-08,20660203.40296506,1133530045,54.86538650618129,52749901.75495916,73410105.15792422,29.812354517012206,33.405177442512745,9.812354517012206,8.405177442512745,720325976.9406987,617024959.9258732
2017,9,Setembro,2017-09,17685625.825485148,983752950,55.624435329984365,54550517.90522523,72236143.73071039,28.7219555329397,32.49780201974722,8.721955532939699,7.497802019747219,630040433.4902968,541612304.3628708
2017,10,Outubro,2017-10,21437957.969821274,1311663126,61.18414486335217,54881487.103603445,76319445.07342473,31.568532315115213,35.164043724481694,11.568532315115213,10.164043724481694,882903966.6035745,775714176.754468
2017,11,Novembro,2017-11,13717406.76010379,954511762,69.58398031733935,53804867.276143484,67522274.03624727,30.07317417113054,34.05740515595045,10.073174171130539,9.057405155950448,680163626.7979242,611576592.997405
2017,12,Dezembro,2017-12,17826258.038027372,1234441768,69.24850775561877,51226682.99432653,69052941.03235391,32.71367437960558,36.422906906741886,12.713674379605578,11.422906906741886,877916607.2394526,788785317.0493157
2018,1,Janeiro,2018-01,21367728.461626347,1445623390,67.65451894412412,49669546.37037084,71037274.83199719,34.334288909247626,37.83030888522778,14.334288909247626,12.83030888522778,1018268820.7674727,911430178.4593412
2018,2,Fevereiro,2018-02,19199575.370815538,1227914227,63.9552804311756,44988127.20307045,64187702.573885985,33.147732131591034,36.65215162310383,13.147732131591034,11.652151623103833,843922719.5836893,747924842.7296116
2018,3,Março,2018-03,17886289.743740004,1204829082,67.36048108701115,50481281.56751704,68367571.31125705,32.39042532706907,36.08232783284121,12.390425327069067,11.082327832841209,847103287.1251999,757671838.4065001
2018,4,Abril,2018-04,16400826.929048253,1109829768,67.66913478212064,54267431.18746264,70668258.1165109,31.063145608174718,34.90273587358015,11.063145608174718,9.902735873580149,781813229.419035,699809094.7737939
